| time |   in   |load | address |  out   |
| 0+   |      0 |  0  |      0  |      0 |
| 1    |      0 |  0  |      0  |      0 |
| 1+   |      0 |  1  |      0  |      0 |
| 2    |      0 |  1  |      0  |      0 |
| 2+   |   4321 |  0  |      0  |      0 |
| 3    |   4321 |  0  |      0  |      0 |
| 3+   |   4321 |  1  |   4321  |      0 |
| 4    |   4321 |  1  |   4321  |   4321 |
| 4+   |   4321 |  0  |      0  |      0 |
| 5    |   4321 |  0  |      0  |      0 |
| 5+   |  12345 |  0  |  12345  |      0 |
| 6    |  12345 |  0  |  12345  |      0 |
| 6+   |  12345 |  1  |  12345  |      0 |
| 7    |  12345 |  1  |  12345  |  12345 |
| 7+   |  12345 |  0  |  12345  |  12345 |
| 8    |  12345 |  0  |  12345  |  12345 |
| 8    |  12345 |  0  |   4321  |   4321 |
| 8+   |  16383 |  0  |   4321  |   4321 |
| 9    |  16383 |  0  |   4321  |   4321 |
| 9+   |  16383 |  1  |  16383  |      0 |
| 10   |  16383 |  1  |  16383  |  16383 |
| 10+  |  16383 |  0  |  16383  |  16383 |
| 11   |  16383 |  0  |  16383  |  16383 |
| 11   |  16383 |  0  |  12345  |  12345 |
| 11   |  16383 |  0  |  16383  |  16383 |
| 11+  |  16383 |  0  |  10920  |      0 |
| 12   |  16383 |  0  |  10920  |      0 |
| 12   |  16383 |  0  |  10921  |      0 |
| 12   |  16383 |  0  |  10922  |      0 |
| 12   |  16383 |  0  |  10923  |      0 |
| 12   |  16383 |  0  |  10924  |      0 |
| 12   |  16383 |  0  |  10925  |      0 |
| 12   |  16383 |  0  |  10926  |      0 |
| 12   |  16383 |  0  |  10927  |      0 |
| 12+  |  21845 |  1  |  10920  |      0 |
| 13   |  21845 |  1  |  10920  |  21845 |
| 13+  |  21845 |  1  |  10921  |      0 |
| 14   |  21845 |  1  |  10921  |  21845 |
| 14+  |  21845 |  1  |  10922  |      0 |
| 15   |  21845 |  1  |  10922  |  21845 |
| 15+  |  21845 |  1  |  10923  |      0 |
| 16   |  21845 |  1  |  10923  |  21845 |
| 16+  |  21845 |  1  |  10924  |      0 |
